heading,authors,subtitles,timeframe,languages,ratings,ratings_count,prices
The Graveyard Book,Written by: Neil Gaiman,,Length: 7 hrs and 43 mins,Language: English,4.5 out of 5 stars,369 ratings,₹531.00
Cross the Line,Written by: Julie Johnson,,Length: 10 hrs and 18 mins,Language: English,4 out of 5 stars,20 ratings,₹938.00
Vijayaniki Aidu Metlu/విజయానికి అయిదు మెట్లు [Five Steps to Success],Written by: Yandamoori Veerendranath,,Length: 18 hrs and 31 mins,Language: Telugu,5 out of 5 stars,4 ratings,₹186.00
Utsav Amar Jati Anand Amar Gotra,Written by: OSHO,,Length: 17 hrs and 51 mins,Language: Hindi,5 out of 5 stars,14 ratings,₹284.00
Peevat Ram Ras Lagi Khumari,Written by: OSHO,,Length: 13 hrs and 32 mins,Language: Hindi,4.5 out of 5 stars,13 ratings,₹284.00
Ahankar (Hindi),Written by: OSHO,,Length: 1 hr and 41 mins,Language: Hindi,4.5 out of 5 stars,25 ratings,₹167.00
A Guide to Stress Free Living,Written by: Om Swami,,Length: 3 hrs and 52 mins,Language: English,5 out of 5 stars,96 ratings,₹69.00
The Prophet,Written by: Kahlil Gibran,,Length: 1 hr and 25 mins,Language: English,4.5 out of 5 stars,205 ratings,₹326.00
Ramayana Banaam Mahabharata [Ramayana vs. Mahabharata],Written by: Devdutt Pattanaik,Meri Drishti Se Ek Rochak Tulna [An Interesting Comparison from My Point of View],Length: 6 hrs and 19 mins,Language: Hindi,4.5 out of 5 stars,54 ratings,
The Favourites,Written by: Layne Fargo,,Length: 13 hrs and 31 mins,Language: English,,Not rated yet,₹957.00
Sukraat (Hindi Edition),Written by: Arun Tiwari,,Length: 3 hrs and 37 mins,Language: Hindi,4.5 out of 5 stars,3 ratings,₹69.00
Gaban [Embezzlement],Written by: Munshi Premchand,,Length: 11 hrs and 36 mins,Language: Hindi,4.5 out of 5 stars,123 ratings,
The PCOD Thyroid Book,Written by: Rujuta Diwekar,,Length: 5 hrs and 59 mins,Language: English,4.5 out of 5 stars,64 ratings,₹69.00
"Lose Fat, Get Fittr",Written by: Jitendra Chouksey,,Length: 6 hrs and 50 mins,Language: English,4.5 out of 5 stars,33 ratings,₹69.00
